"CMPD_CHEMBLID","ASSAY_CHEMBLID","CANONICAL_SMILES","STANDARD_TYPE","RELATION","STANDARD_VALUE","STANDARD_UNITS","MOLWEIGHT","ALOGP","PSA","STABLE"
"CHEMBL1813057","CHEMBL1826124","C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NN(C)C(=O)C=C3","T1/2",">","0.6667","hr","327.42","2.68","45.14","1"
"CHEMBL3417585","CHEMBL3421053","C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NNC(=O)[C@@H]4C[C@H]34","T1/2",">","0.6667","hr","327.42","2.17","53.93","1"
"CHEMBL3417586","CHEMBL3421053","C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NNC(=O)[C@H]4C[C@@H]34","T1/2",">","0.6667","hr","327.42","2.17","53.93","1"
"CHEMBL1935114","CHEMBL1937483","C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NNC(=O)C(C)(C)C3","T1/2",">","0.6667","hr","343.46","2.95","53.93","1"
"CHEMBL1829475","CHEMBL1937483","C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NNC(=O)C=C3C","T1/2",">","0.6667","hr","327.42","2.92","53.93","1"
"CHEMBL3417504","CHEMBL3421053","C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NNC(=O)C4CC34","T1/2",">","0.6667","hr","327.42","2.17","53.93","1"
"CHEMBL1935100","CHEMBL1937483","C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NNC(=O)CC3","T1/2",">","0.6667","hr","315.41","2.07","53.93","1"
"CHEMBL1829477","CHEMBL1832617","C[C@@H]1CCCN1CCCOc2ccc(cc2F)C3=NN(C)C(=O)C=C3","T1/2",">","0.6667","hr","345.41","2.88","45.14","1"
"CHEMBL1630792","CHEMBL1641120","C[C@@H]1CCN(C[C@@H]1N(C)c2ncnc3[nH]ccc23)C(=O)C4Cc5cc(Cl)ccc5O4","T1/2","=","0.06667","hr","425.91","3.83","74.35","0"
"CHEMBL221959","CHEMBL2155765","C[C@@H]1CCN(C[C@@H]1N(C)c2ncnc3[nH]ccc23)C(=O)CC#N","T1/2","=","1.7","hr","312.37","1.51","88.91","1"
"CHEMBL1630801","CHEMBL1641120","C[C@@H]1CCN(C[C@@H]1N(C)c2ncnc3[nH]ccc23)C(=O)CC(F)(F)F","T1/2","=","1","hr","355.36","2.58","65.12","1"
"CHEMBL1630800","CHEMBL1641120","C[C@@H]1CCN(C[C@@H]1N(C)c2ncnc3[nH]ccc23)C(=O)CC4CC4","T1/2","=","0.2333","hr","327.42","2.46","65.12","0"
"CHEMBL1630791","CHEMBL1641120","C[C@@H]1CCN(C[C@@H]1N(C)c2ncnc3[nH]ccc23)C(=O)CO","T1/2",">","2","hr","303.36","0.78","85.35","1"
"CHEMBL1630789","CHEMBL1641120","C[C@@H]1CCN(C[C@@H]1N(C)c2ncnc3[nH]ccc23)C(=O)Nc4cc(C)ns4","T1/2","=","0.7167","hr","385.49","2.44","118.28","1"
"CHEMBL1630788","CHEMBL1641120","C[C@@H]1CCN(C[C@@H]1N(C)c2ncnc3[nH]ccc23)S(=O)(=O)CC(F)(F)F","T1/2","=","0.4833","hr","391.41","2.25","90.57","0"
"CHEMBL1630790","CHEMBL1641120","C[C@@H]1CCN(Cc2cccc(F)c2F)C[C@@H]1N(C)c3ncnc4[nH]ccc34","T1/2","=","0.3167","hr","371.43","4.19","48.05","0"
